iteration,trials,nc,ls
1,1,18,4
1,1,18,7
1,1,18,13
1,1,18,4
1,1,18,15
1,1,18,16
1,1,18,15
1,1,18,16
1,1,18,9
1,1,18,5
1,1,18,4
1,1,18,8
1,1,18,16
1,1,18,11
1,1,18,11
1,1,18,4
1,1,18,4
1,1,18,4
1,1,18,2
1,1,18,11
1,1,18,2
1,1,18,11
1,1,18,9
1,1,18,16
1,1,18,15
1,1,18,11
1,1,18,3
1,1,18,3
1,1,18,16
1,1,18,17
1,1,18,12
1,1,18,16
1,1,18,11
1,1,18,16
1,1,18,16
1,1,18,3
1,1,18,16
1,1,18,11
1,1,18,11
1,1,18,3
1,1,18,3
1,1,18,14
1,1,18,8
1,1,18,3
1,1,18,11
1,1,18,17
1,1,18,5
1,1,18,5
1,1,18,11
1,1,18,5
1,1,18,3
1,1,18,13
1,1,18,8
1,1,18,4
1,1,18,13
1,1,18,5
1,1,18,13
1,1,18,16
1,1,18,11
1,1,18,13
1,1,18,5
1,1,18,16
1,1,18,3
1,1,18,17
1,1,18,11
1,1,18,17
1,1,18,8
1,1,18,13
1,1,18,3
1,1,18,4
1,1,18,5
1,1,18,9
1,1,18,13
1,1,18,4
1,1,18,3
1,1,18,13
1,1,18,18
1,1,18,2
1,1,18,13
1,1,18,5
1,1,18,5
1,1,18,9
1,1,18,2
1,1,18,1
1,1,18,1
1,1,18,12
1,1,18,5
1,1,18,15
1,1,18,11
1,1,18,2
1,1,18,5
1,1,18,11
1,1,18,11
1,1,18,13
1,1,18,5
1,1,18,9
1,1,18,11
1,1,18,6
1,1,18,6
1,1,18,4
1,1,18,1
1,1,18,7
1,1,18,10
1,1,18,10
1,1,18,11
1,1,18,12
1,1,18,18
1,1,18,16
1,1,18,10
1,1,18,17
1,1,18,2
1,1,18,7
1,1,18,3
1,1,18,6
1,1,18,13
1,1,18,1
1,1,18,5
1,1,18,4
1,1,18,8
1,1,18,13
1,1,18,12
1,1,18,7
1,1,18,13
1,1,18,8
1,1,18,13
1,1,18,4
1,1,18,16
1,1,18,8
1,1,18,5
1,1,18,2
1,1,18,3
1,1,18,4
1,1,18,2
1,1,18,11
1,1,18,12
1,1,18,15
1,1,18,9
1,1,18,14
1,1,18,3
1,1,18,11
1,1,18,9
1,1,18,3
1,1,18,4
1,1,18,14
1,1,18,1
1,1,18,1
1,1,18,9
1,1,18,4
1,1,18,11
1,1,18,4
1,1,18,4
1,1,18,14
1,1,18,7
1,1,18,8
1,1,18,3
1,1,18,7
1,1,18,4
1,1,18,12
1,1,18,17
1,1,18,14
1,1,18,7
1,1,18,15
1,1,18,14
1,1,18,13
1,1,18,7
1,1,18,13
1,1,18,11
1,1,18,17
1,1,18,11
1,1,18,13
1,1,18,11
1,1,18,11
1,1,18,15
1,1,18,16
1,1,18,11
1,1,18,5
1,1,18,16
1,1,18,7
1,1,18,7
1,1,18,16
1,1,18,4
1,1,18,9
1,1,18,1
1,1,18,4
1,1,18,4
1,1,18,16
1,1,18,1
1,1,18,11
1,1,18,11
1,1,18,4
1,1,18,10
1,1,18,11
1,1,18,17
1,1,18,11
1,1,18,5
1,1,18,11
1,1,18,13
1,1,18,3
1,1,18,7
1,1,18,15
1,1,18,17
1,1,18,11
1,1,18,11
1,1,18,9
1,1,18,17
1,1,18,5
1,1,18,5
1,1,18,11
1,1,18,2
1,1,18,8
1,1,18,12
1,1,18,16
1,1,18,4
1,1,18,5
1,1,18,9
1,1,18,2
1,1,18,3
1,1,18,12
1,1,18,3
1,1,18,5
1,1,18,4
1,1,18,3
1,1,18,10
1,1,18,8
1,1,18,15
1,1,18,5
1,1,18,5
1,1,18,15
1,1,18,12
1,1,18,1
1,1,18,3
1,1,18,3
1,1,18,11
1,1,18,11
1,1,18,8
1,1,18,6
1,1,18,15
1,1,18,15
1,1,18,13
1,1,18,5
1,1,18,4
1,1,18,13
1,1,18,8
1,1,18,12
1,1,18,8
1,1,18,10
1,1,18,7
1,1,18,5
1,1,18,4
1,1,18,4
1,1,18,13
1,1,18,3
1,1,18,13
1,1,18,13
1,1,18,13
1,1,18,11
1,1,18,13
1,1,18,4
1,1,18,2
1,1,18,3
1,1,18,13
1,1,18,14
1,1,18,3
1,1,18,7
1,1,18,4
1,1,18,13
1,1,18,3
1,1,18,16
1,1,18,13
1,1,18,1
1,1,18,13
1,1,18,2
1,1,18,9
1,1,18,7
1,1,18,3
1,1,18,10
1,1,18,9
1,1,18,11
1,1,18,1
1,1,18,9
1,1,18,16
1,1,18,2
1,1,18,17
1,1,18,9
1,1,18,2
1,1,18,2
1,1,18,14
1,1,18,13
1,1,18,4
1,1,18,3
1,1,18,3
1,1,18,1
1,1,18,2
1,1,18,9
1,1,18,2
1,1,18,11
1,1,18,13
1,1,18,8
1,1,18,9
1,1,18,3
1,1,18,7
1,1,18,9
1,1,18,17
1,1,18,11
1,1,18,13
1,1,18,1
1,1,18,11
1,1,18,16
1,1,18,5
1,1,18,7
1,1,18,15
1,1,18,11
1,1,18,5
1,1,18,4
1,1,18,11
1,1,18,5
1,1,18,9
1,1,18,7
1,1,18,16
1,1,18,13
1,1,18,11
1,1,18,4
1,1,18,5
1,1,18,4
1,1,18,3
1,1,18,11
1,1,18,7
1,1,18,11
1,1,18,5
