mm1,mm2,met1,met2,nmi_m1_m2
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,1
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0.4656242787714983
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,1
FG,IM,1,2,0
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,0
FG,IM,1,2,NA
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,1
FG,IM,1,2,0.9233829827256814
FG,IM,1,2,0
FG,IM,1,2,0.9170257426142323
FG,IM,1,2,0
FG,IM,1,2,0.4299495353615203
FG,IM,1,2,0.9170257426142323
FG,LP,1,3,1
FG,LP,1,3,0
FG,LP,1,3,0.9233829827256814
FG,LP,1,3,0.9233829827256814
FG,LP,1,3,0.4656242787714983
FG,LP,1,3,0.9233829827256814
FG,LP,1,3,0.9233829827256814
FG,LP,1,3,1
