method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
FG,0.1176,0.1029,0.6464,4,Inf,0.923
WT,0.1176,0.1029,0.6464,4,Inf,0.923
LE,0.1176,0,0,1,Inf,0
LD,0.1176,1,-0.0404,25,Inf,0.466
IM,0.1176,0.1176,0.646,5,Inf,1
ML,0.1176,0.1029,0.6464,4,Inf,0.923
LP,0.1176,0.1029,0.6464,4,Inf,0.923
